Date,Open,High,Low,Close,Volume
2022-10-14,166.7042,169.1946,163.9719,166.2392,0.0
2022-10-15,166.2355,166.2355,166.2355,166.2355,0.0
2022-10-16,166.042,167.5285,165.5613,166.4645,0.0
2022-10-17,166.4824,170.5548,166.3905,169.2482,0.0
2022-10-18,169.2504,170.4663,166.6679,168.8966,0.0
2022-10-19,168.8932,170.2629,166.6945,168.0617,0.0
2022-10-20,168.089,170.3717,166.9866,168.6073,0.0
2022-10-21,168.613,171.9216,161.6281,166.7569,0.0
2022-10-23,166.9531,168.8466,166.6367,168.6875,0.0
2022-10-24,168.6897,170.7952,163.7181,168.0722,0.0
2022-10-25,168.0901,171.4594,166.2006,169.8366,0.0
2022-10-26,169.8411,172.7364,167.061,170.1287,0.0
2022-10-27,170.136,171.117,167.5239,169.1913,0.0
2022-10-28,169.1796,171.8762,167.8735,171.1546,0.0
2022-10-29,171.1546,171.1546,171.1546,171.1546,0.0
2022-10-30,171.3288,171.6086,170.8176,171.2631,0.0
2022-10-31,171.2955,172.8628,169.0196,170.5289,0.0
2022-11-01,170.5782,172.1336,168.0249,170.2246,0.0
2022-11-02,170.1819,171.6049,165.8039,168.2727,0.0
2022-11-03,168.2716,169.5596,163.9669,165.3043,0.0
2022-11-04,165.3677,168.9138,163.2511,166.7808,0.0
2022-11-06,166.9509,167.4275,165.6941,166.3792,0.0
2022-11-07,166.4119,170.3171,164.868,168.7596,0.0
2022-11-08,168.8272,170.4328,166.0026,168.1025,0.0
2022-11-09,168.0694,169.8007,164.4709,166.3259,0.0
2022-11-10,166.3207,171.9677,159.093,165.078,0.0
2022-11-11,165.1217,168.9084,161.1904,164.247,0.0
2022-11-12,164.2248,164.2248,164.161,164.2165,0.0
2022-11-13,164.2165,164.6627,163.8213,164.6592,0.0
2022-11-14,164.3306,166.5509,162.4975,164.4381,0.0
2022-11-15,164.3933,169.1564,161.579,165.1686,0.0
2022-11-16,165.1733,167.5369,164.0627,166.1649,0.0
2022-11-17,166.1432,168.2979,163.2862,166.3216,0.0
2022-11-18,166.2698,167.9075,165.4797,166.8416,0.0
2022-11-19,166.7622,166.86,166.7482,166.7898,0.0
2022-11-20,166.7622,166.9587,166.5376,166.8324,0.0
2022-11-21,166.8358,169.2657,165.0023,168.0202,0.0
2022-11-22,167.9925,169.308,166.6421,167.8623,0.0
2022-11-23,167.7739,171.0839,165.1421,168.2431,0.0
2022-11-24,168.1847,169.704,166.253,167.6993,0.0
2022-11-25,167.8181,169.2952,166.777,168.2257,0.0
2022-11-27,168.1894,168.6151,167.7722,168.0434,0.0
2022-11-28,167.9779,168.9616,164.0937,166.0858,0.0
2022-11-29,166.0968,168.1182,164.6027,165.6293,0.0
2022-11-30,165.6182,169.0885,163.7341,166.4055,0.0
2022-12-01,166.4982,170.0297,162.8722,165.6069,0.0
2022-12-02,165.6846,167.2603,162.109,164.9627,0.0
2022-12-03,165.0424,165.0424,165.0424,165.0424,0.0
2022-12-04,164.953,165.3068,164.4965,164.8383,0.0
2022-12-05,165.1657,168.9415,163.0534,166.6691,0.0
2022-12-06,166.679,168.6145,164.8408,166.2756,0.0
2022-12-07,166.2168,168.6585,164.858,166.6364,0.0
2022-12-08,166.6658,168.0919,165.5482,167.1661,0.0
2022-12-09,167.1254,168.7099,165.4103,167.4364,0.0
2022-12-11,167.3053,167.6194,167.2233,167.4428,0.0
2022-12-12,167.2526,169.539,166.5512,168.8473,0.0
2022-12-13,168.847,171.6911,164.8814,167.5753,0.0
2022-12-14,167.6164,169.2679,165.9755,168.276,0.0
2022-12-15,168.2886,171.746,164.3478,167.7696,0.0
2022-12-16,167.7708,168.5417,165.1335,165.8531,0.0
2022-12-17,165.9283,165.9283,165.9283,165.9283,0.0
2022-12-18,165.3589,165.4134,164.8005,165.1001,0.0
2022-12-19,165.2208,167.9111,164.4912,166.2856,0.0
2022-12-20,166.3332,168.0387,157.7566,160.4735,0.0
2022-12-21,160.4645,161.5832,158.4728,160.0382,0.0
2022-12-22,160.005,161.2227,157.8136,159.2572,0.0
2022-12-23,159.2903,160.974,158.7782,160.1174,0.0
2022-12-25,160.2171,160.2303,160.124,160.2171,0.0
2022-12-26,160.0337,160.9215,159.382,160.2195,0.0
2022-12-27,160.2171,161.8155,159.1213,160.4927,0.0
2022-12-28,160.4818,163.092,160.0057,161.5523,0.0
2022-12-29,161.5483,162.4052,159.5701,160.3128,0.0
2022-12-30,160.3356,161.1374,157.0046,158.5106,0.0
2022-12-31,158.5977,158.5977,158.5715,158.5715,0.0
2023-01-01,158.5715,158.5907,158.3187,158.3526,0.0
2023-01-02,158.2098,158.5727,157.1251,157.5235,0.0
2023-01-03,157.452,158.7979,154.0766,156.7845,0.0
2023-01-04,156.7203,160.4217,155.3084,159.833,0.0
2023-01-05,159.844,161.9091,156.3234,158.8272,0.0
2023-01-06,158.826,163.0659,156.2525,159.6296,0.0
2023-01-07,159.6507,159.6507,159.6507,159.6507,0.0
2023-01-08,159.687,159.687,159.3698,159.4911,0.0
2023-01-09,159.4531,161.9692,158.6335,160.6489,0.0
2023-01-10,160.6121,161.5967,159.0628,160.6666,0.0
2023-01-11,160.6443,161.8129,159.7552,160.8956,0.0
2023-01-12,160.8811,162.2823,155.741,157.8012,0.0
2023-01-13,157.7479,158.531,154.8147,156.2747,0.0
2023-01-15,156.2519,156.2568,156.1884,156.192,0.0
2023-01-16,156.1571,158.361,154.8358,156.7397,0.0
